File,Article_type,Context_type,Noun_type,Left ,KWIC,Right
HUD,b_definite,b_determined,a_count_sg,"I think the C E C need to carefully think out er , the way they wan na go forward . Last year the document was defeated . I think the reason for the defeat was mainly due to the , the biannual conference issue . The C E C have had twelve months , the sections have been up and running , they should have learnt from the experiences over the last twelve months because all that they 've done is presented us with the same document with the exclusion of ",<<< the >>>," one issue of the two year conference . The final point I wan na make , we in Liverpool , more than anywhere else , understand the consequences of unemployment . But we also understand the consequences of political unemployment . We 've seen activists sacked , we 've seen activists been unable to , to get a job ."
HWF,b_definite,b_determined,a_count_sg,"The user QA APPROVER can now grant approval to the package using Option 1.5.3 . Within this option , type a Caveat such as [ For LIFESPAN Acceptance Trial ] -- this will be printed into the approval record . Wait for an [ Approval successfully granted ] message . Once this has been received , read out ",<<< the >>>," complete package using Option 1.3.1 , and exit LIFESPAN . ( Note , QA APPROVER will also get a [ DC QA-APPROVED ] mail message , as will the MANAGER ) . Perform a VMS DIFFERENCES on the two files : the output should be similar to that shown in Figure 2.4 . Your new process is now tested and fully operational !"
HWF,b_definite,b_determined,a_count_sg,"Restrictions and Limitations No special LIFESPAN privileges are required to use this option , but in order to prevent unauthorised access to module details , LIFESPAN will only display the information if the current user : is the owner or manager of the module , or is a relative of the module 's owner or manager ( ancendant or descendant ) . has been granted a special access to the module by the owner or manager of ",<<< the >>>," module ( refer to Section 11 ) . has supplied the current module password , either now or at any time since the password was last changed , or the module has no password . If you do not fall into any of these categories , LIFESPAN will display an appropriate error message and you will be unable to view the details of that module . Detailed Description"
HWF,b_definite,b_determined,a_count_sg,"If the problem still exists , you should advise your LIFESPAN Manager , who should contact Sema Software Technology Technical Support Department for assistance . Data structure containing packages is full The root structure has more than 200 packages at the same level which exceeds an internal limit . Repeat ",<<< the >>>, read out from where the failure occurred . DC aborted successfully The Design Change ( DC ) identifier has been CANCELLED ( state 5 ) and no further work can be done on the modules listed . You would abort a DC if it was decided not to proceed and complete the proposed change .
HX9,a_indefinite,a_nondetermined,a_count_sg,"Left to right strategies consider only those word matches whose left-hand end corresponds to a possible utterance initial boundary . Hybrid strategies perform the scan over some specified initial portion of the utterance and work middle-out from any seed words found within this region . Since HWIM 's acoustic-phonetic component can not be relied upon to correctly segment and label at the phonetic level , a number of alternative hypotheses have to be maintained to ensure that the right word has a chance of being considered . In HWIM , all 71 possible labels are given ",<<< a >>>," probability score . These alternative phoneme labels could support a large number of word hypotheses , depending on the number and phonetic closeness of items in the lexicon , and these in turn could be combined into a number of different word strings , depending on the constraints of the grammar . Since HWIM 's grammar was far less tightly constrained than the finite state grammar used in HARPY , the system hypothesised a considerable number of words at the beginning of an utterance . Unfortunately , the beginnings of utterances appear to be particularly unconstrained by either the acoustic material or the linguistic interpretation ."
HXH,a_indefinite,a_nondetermined,a_count_sg,"4.3 SENTENCE LENGTH AND SENTENCE COMPLEXITY One of the major differences between speaking and writing is that speaking relies more on the hearer 's memory than writing does . This means that a written sentence can be longer than a spoken sentence . Moreover , written sentences can use punctuation as ",<<< a >>>," way of indicating structure , and so can more easily manage complex constructions . Where a spoken sentence is long and complicated it is more likely to be PARATACTIC ; this means it is likely to be a string of sentences tied together with "" and "" , "" or "" , or "" but "" . A written sentence , on the other hand , can more easily be HYPOTACTIC , which means that it can have complex relations between its parts -- one inside another , rather than just one after another . Academic register is usually characterised partly by avoiding the features of spoken register ."
HXY,b_definite,b_determined,c_uncount,"Stephen , a boy of about sixteen in a school not far from Susan 's , told me the following story : Extract 2 : Sounds are for big people Me was trodding down de road and me come across me bredder "" e -- me ask "" im for some money an "" e say "" e na got . An "" "" e say "" Wha% you wan% a money for ? "" Me say me wan% go , you know , listen to some sound , and then "" e say "" you cyaan go sound , you too young to go sound "" I say "" Wha you mean by that ? "" "" Im say that er , you know sound it a sort t'ing for big people cause when me get stab up whe me go say , me mudder go star% argue wiv me , because when most of ",<<< the >>>," time when you go sound you know trouble an "" all that does arise . So me say all me want is a poun "" to get in [ inaudible ] and me ten pence bus fare . "" Im say "" alrigh% den , trod along dereso bu% if you come back wiv a knife in your back don "" , y'know , [ inaudible ] come an "" complain to me . "" So me went down dere an "" me called for me spar dem and "" im come along wiv me and "" e &hellip; an "" "" e check some woman down there , y'know check some skirt -- jus ' grind up some daughter y'know , smoke weed an "" t'ing ."
HY6,b_definite,b_determined,a_count_sg,"This book is not designed to engage with exposition of doctrine though it will inevitably point to its importance ; rather it attempts a mode of appreciation of these texts to help readers , whether or not they have prior knowledge of the subject , to respond to them as literary witnesses to a life of faith understood as a game . Such a concept does itself have roots in theological tradition . The playing of this "" game "" is enabled by the transcendent reality which is then manifested through its play . The aims of this first chapter are : first , to provide pointers to the nature of the experience with which these writers were concerned and an approach through which the sympathetic but uninformed reader of our own time might be able to respond to it ; second , to clarify those aspects of the medieval cultural context which particularly governed ",<<< the >>>," mode of expression of these writers and , importantly , the expectations of their readers . NAMING THE GAME : CONTEMPLATIVE EXPERIENCE Mysticism in the precise sense of an ultimate spiritual reality experienced both within the structure of the human personality and as a transcendent power is not confined to Christianity but common to all religions , and mystics from differing faiths share at least elements of a common experience . They witness to a certainty that all the diversity of living beings are a part of a transcendent unifying spiritual whole which is by definition difficult to grasp in its totality ; individual dancers can not see the pattern of the whole dance -- that is perceived only from outside ."
HY9,b_definite,b_determined,a_count_sg,"John Tutchin , himself a Nonconformist and someone who had been involved in Monmouth 's rebellion , frequently attacked the High Church lower clergy in his Whig periodical , The Observator , but was prepared to defend the Church hierarchy , saying that we had "" the best set of Bishops that ever England yet knew "" . Likewise the Whig Junto chief , John Somers , defended "" The Archbishop , and those of his worthy Brethren "" against those who would "" traduce the Governors of the Church , as Enemies and Betrayers of it , and to make zealous Churchmen and others believe , that there are some men who are better Pastors , and truer Friends of the Church than the Bishops are "" . In contrast we find the Church party attacking the Church hierarchy . In 1694 ",<<< the >>>," High Tory journalist Charles Leslie complained that "" we see among the newmade Bishops those who were formerly Fanatical Preachers ; and those who , of all our Number , are least Zealous for the Church , and most Latitudinarian , for a Comprehension of Dissenters , and a Dispensation with our Liturgy and Discipline "" . The role of defending the Church was assumed by the lower clergy , their chief spokesman being Francis Atterbury . In February 1704 the Lower House of Convocation presented the Upper House with a representation of the grievances of the clergy , which was fiercely critical of the way the bishops were running the Church : canons were being disobeyed , discipline unenforced , whilst everywhere episcopal administration was inefficient and corrupt . However , it must be stressed that the High Anglicans reserved their contempt for the Whig bishops ; they recognised that there were some sound bishops ( though not as many as they would like ) , and they remained committed to the defence of the institution of episcopacy ."
HYX,a_indefinite,a_nondetermined,a_count_sg,"So really starting towards looking at the different nature of strategies the new one would have . It would enclose within it , a traditional economic development strategy for the work this Committee 's helping , but it should look in a wider issue , and seek to influence wider , wider things that happen within the county . And it should have a view on , on issues like education and transport , and those kind of things because they 're all critical to the long-term future of economic viability within Shropshire . What I was going to suggest then , Chairman , in the light of , in a sense a change of , a change of thought by me over the Christmas period , in a way it 's probably best it happened , is to ask if we could , because I 'm , I 'm keen that , this kind of different kind of strategy , there is a , there is ",<<< a >>>," member ownership of the strategy , rather than just put something to you , that you would then have to , you know you , you have the paper in front of you , it 's a thirty page document , and you decided [unclear] is actually to suggest that you have actually a , a , a member group of , of , of a few members , perhaps three or four members , erm , to actually work with me on this , in the development of that strategy , so there was actually a member involvement , because it 's straying more into the political field . There is a member involvement in the process of developing that overall strategy , in , into the kind of Shropshire that we would wish to see in the future . Any comment ? Well , I , I think it 's a sound idea , I think it 's sad at a time of local government reorganization when we 're likely to see authorities getting smaller , and yet the , the issues wo n't get any smaller , and the new authorities may well be having to look at ways of getting together with their neighbours to look at strategies which cover areas of the sort of size of the old county areas , and also getting together to , to , to meet , erm , organizations which will still on county-size boundaries , like Techs , and , and similar ."
J2N,b_definite,b_determined,d_proper,"Conservation : Land Anti-peat campaign gathers pace Surrey County Council is to become the first local authority to sign the Peatland Protection Charter , and to commit itself to the phasing out of the use of peat in the council 's public parks , gardens and other landscaping activities . The campaign against the extraction and use of peat was set up last spring by a group of environmental and conservation organisations , led by ",<<< the >>>," Royal Society for Nature Conservation , in order to try and protect what remains of Britain 's lowland bog areas . These areas are seen as irreplaceable , and many have been designated as Sites of Special Scientific Interest by the Nature Conservancy Council , as they are often rich in interesting and unusual species . However , peat producers have been angered by the campaign mounted against them , and argue that information given to the public regarding the bogs , has been misleading . Fison 's Horticulture , the largest peat extractor in Britain , points out that much of the lowland areas owned by them , including Thorne Waste and Hatfield Moors , had already been spoilt by extraction , long before they bought the land ."
JXY,a_indefinite,a_nondetermined,a_count_sg,"Then she found herself concluding that her earlier assumption had probably been correct and that there had indeed been someone in Australia , someone who had caused him to return to England in a hurry . The incident with the residents from Conway House seemed to have struck a note of rapport between Rachel and David and during the following week their working relationship seemed much less strained . News of his work with the handicapped also leaked out at the centre and it became common knowledge that he was using the OBEX swimming-pool . One morning during coffee-break , Rachel found Nina and Louise apparently discussing David , who had gone to ",<<< a >>>," meeting . [ To think we thought he only worked part-time , ] Nina was saying as Rachel came into the room . Louise nodded . [ I know , I used to think he skived off and all the time he was going on to Conway House to work ."
JYB,b_definite,b_determined,c_uncount,"Their eyes met , hers wary , his angry and resentful , defensive . He felt trapped , cornered . She wriggled in the chair and he caught a flash of silken thigh before she settled again . His body roared to life , hard and urgent , over-riding ",<<< the >>>," pain . He shifted awkwardly , and her eyes flew to his lap and then up to his face , wide and slightly startled , like a doe . [ What 's the matter , Irish ? It 's only basic human biology -- nothing you have n't seen before . ]"
K3A,b_definite,b_determined,a_count_sg,"By Ian Hargraves TRANMERE Rovers have won Football League backing for a resolution that would give the league power to order a match that has been abandoned , to be restarted at a later date at the point it was called off . The resolution will be put to the League 's annual meeting on Friday , and Rovers hope the fact that it now has official support , will be sufficient to have it passed despite anticipated opposition . Anger The reason for ",<<< the >>>," resolution is the club 's simmering anger over an incident last season , when the match at Swindon was abandoned after 61 minutes due to a floodlights failure , with Tranmere leading 2&ndash;1 . Under League rules , the game had to be replayed in its entirety , and Tranmere lost , to suffer a mighty setback in their drive for promotion . Chief executive Frank Corfe said : [ I thought the whole thing was a disgrace . I know some people accused us of whingeing , but it was ridiculous that they were able to benefit from something that was entirely their fault ."
K5M,b_definite,b_determined,a_count_sg,"£750,000 ferry will make Foula less remote THE remote Shetland island of Foula is about to be brought closer with a £750,000 ferry package . The community has had to rely on occasional ferry trips in fine weather and flights on tiny Islander planes , operated by Loganair , for four years . A custom-built Shetland Islands Council ferry , Westering Homewards , is lying unused on ",<<< the >>>," mainland after she was found to be unsafe for the exposed 22-mile Atlantic crossing . Since she was rejected last year , the council has been trying to find an alternative service for the island . The transport committee yesterday approved plans to build another boat . The £750,000 required is being sought from special council budgets , so that a rolling programme of ferry replacement is not affected ."
K5Y,b_definite,b_determined,a_count_sg,Determination of the plasmid copy number in pPYARC5 and pPATCR5 transformants . ( A ) Location of Sal I sites ( S ) in the linear plasmids and in the DNA region encompassing the chromosomal ura5 gene . Thin lines represent the expected size of the DNA fragments detected by the ura5 probe . The symbols used in ,<<< the >>>," drawing are as in Fig. 1 and 5 . ( B ) Southern blot analysis of DNA from pPYACRC5 and pPATRC5 transformants . Total DNA ( 1 µg ) was digested with Sal I , electrophoresed on a 0.8% agarose gel , transferred to nylon membrane , and probed with a mixture of the 32 P-labeled 1.55 kbp Eco RI fragment carrying the ura5 gene ( 2.5 ng/ml ; 10 9 cpm/µg ) and 32 P-labeled &lambda; DNA ( 0.5 ng/ml ; 10 8 cpm/µg ) . Lanes 1 and 9 , Hind III digested &lambda; DNA ( 0.2 µg ) ; lane 2 , DNA from the ura5 recipient strain ; lanes 3 to 5 , DNA from three unstable pPYACRC5 transformants ; lanes 6 to 8 , DNA from three pPATRC5 transformants ."
K8X,b_definite,b_determined,a_count_sg,"The Central and National Wages Boards , the precursors of the national level of the current machinery , were set up in 1920 and given statutory status in the Railways Act 1921 . The current machinery for the main railway grades was agreed in 1956 . Separate machineries exist for workshops , professional and technical staff , and for managerial staff . ",<<< The >>>," following description covers the main railway machinery , which applies to the great majority of railway employees in BR . Negotiation BR 's arrangements make a clear formal distinction between negotiation and consultation . The machinery of negotiation consists of a hierarchy of joint committees at workplace , regional and national levels . The committees are composed of management and workforce representatives ."
KRR,b_definite,b_determined,c_uncount,"It 's the sound of exceptionally brilliant wind players that we have , not such good string players . We are weak on our string players . We are not as accomplished as the best German orchestras , and this is not because we are bad string players , but simply because we 're a kind of pot pourri , we have all kinds of different string styles in England . We have n't got and English string style , whilst there is a specific German string style or a specific Belgian , a specific Russian , a specific French -- we have n't got that and we have n't got ",<<< the >>>," richness and fullness of the string sound of the Continental orchestras on the whole . Our wind playing , however , is an incredibly high standard and what we have got in our orchestras are brilliant sight readers and if you want a sort of erm an orchestra to learn something then an English orchestra will take , I do n't know , a quarter of the time that any other Continental orchestra will take . They are very , very , very quick indeed and very , very efficient , and this is why , since the War London has been the centre of the recording industry , simply because it 's been worth the while for Americans in recording companies , for example , to record in London rather than anywhere else because we are so efficient . At one time , British singers were , dare I say it , almost rock bottom ."
KSV,a_indefinite,a_nondetermined,a_count_sg,"I ca n't find it anywhere here . Positive alright Red Dwarf let's look at the T V guide , starts what , what do we need , need to do it ? You 're the expert , Red Dwarf starts at nine o'clock yeah , so You need ",<<< a >>>, long very long pair of wires Of what type ? These type Er we should have some of those
